Disease,Symptoms,Medicine,Brand Name,Dosage,Price (INR)
COVID-19,"Vomiting, Sore throat, Chest tightness, Sweating",Ciprofloxacin,Zinetac,1g,75
COVID-19,"Vomiting, Sore throat, Chest tightness, Sweating",Ranitidine,Omez,5mg,30
COVID-19,"Chest tightness, Joint pain, Dizziness, Chills",Cetirizine,Brufen,5mg,75
COVID-19,"Chest tightness, Joint pain, Dizziness, Chills",Ranitidine,Claritine,10mg,150
Dengue,"Shortness of breath, Sore throat, Dizziness, Chills",Ibuprofen,Ciplox,5mg,75
Dengue,"Shortness of breath, Sore throat, Dizziness, Chills",Ciprofloxacin,Crocin,1g,150
Gout,"Chest tightness, Itching, Headache, Rash",Omeprazole,Flagyl,200mg,20
Gout,"Chest tightness, Itching, Headache, Rash",Ranitidine,Augmentin,10mg,30
COVID-19,"Fatigue, Itching, Pain, Fever",Ciprofloxacin,Flagyl,5mg,100
COVID-19,"Fatigue, Itching, Pain, Fever",Ranitidine,Ciplox,100mg,200
Ear Infection,"Sweating, Shortness of breath, Vomiting, Sore throat",Ranitidine,Omez,500mg,75
Ear Infection,"Sweating, Shortness of breath, Vomiting, Sore throat",Ibuprofen,Flagyl,1g,150
Cholera,"Pain, Nausea, Itching, Vomiting",Azithromycin,Flagyl,500mg,100
Cholera,"Pain, Nausea, Itching, Vomiting",Cetirizine,Augmentin,1g,150
Gout,"Rash, Pain, Dizziness, Sore throat",Azithromycin,Alerid,500mg,20
Gout,"Rash, Pain, Dizziness, Sore throat",Loratadine,Flagyl,200mg,75
COVID-19,"Nausea, Joint pain, Vomiting, Rash",Omeprazole,Crocin,200mg,30
COVID-19,"Nausea, Joint pain, Vomiting, Rash",Loratadine,Zinetac,100mg,200
Depression,"Cough, Weight loss, Sweating, Fatigue",Ciprofloxacin,Alerid,200mg,30
Depression,"Cough, Weight loss, Sweating, Fatigue",Cetirizine,Azithral,10mg,200
Constipation,"Chest tightness, Chills, Joint pain, Dizziness",Ranitidine,Alerid,5mg,50
Constipation,"Chest tightness, Chills, Joint pain, Dizziness",Ibuprofen,Flagyl,200mg,75
Gastritis,"Sweating, Chest tightness, Nausea, Sore throat",Ranitidine,Brufen,250mg,50
Gastritis,"Sweating, Chest tightness, Nausea, Sore throat",Paracetamol,Crocin,500mg,200
Depression,"Joint pain, Sweating, Chills, Itching",Azithromycin,Omez,1g,30
Depression,"Joint pain, Sweating, Chills, Itching",Metronidazole,Augmentin,500mg,200
Anxiety,"Cough, Pain, Chest tightness, Nausea",Cetirizine,Ciplox,250mg,50
Anxiety,"Cough, Pain, Chest tightness, Nausea",Ibuprofen,Omez,200mg,200
Glaucoma,"Sweating, Fever, Pain, Joint pain",Metronidazole,Alerid,5mg,20
Glaucoma,"Sweating, Fever, Pain, Joint pain",Loratadine,Azithral,10mg,200
Glaucoma,"Sore throat, Headache, Fever, Fatigue",Loratadine,Azithral,200mg,30
Glaucoma,"Sore throat, Headache, Fever, Fatigue",Ciprofloxacin,Augmentin,100mg,100
Common Cold,"Rash, Sore throat, Itching, Vomiting",Ibuprofen,Zinetac,100mg,30
Common Cold,"Rash, Sore throat, Itching, Vomiting",Azithromycin,Brufen,250mg,75
Acne,"Fatigue, Itching, Pain, Fever",Cetirizine,Omez,5mg,20
Acne,"Fatigue, Itching, Pain, Fever",Ranitidine,Ciplox,1g,150
Insomnia,"Shortness of breath, Rash, Sore throat, Pain",Omeprazole,Azithral,1g,20
Insomnia,"Shortness of breath, Rash, Sore throat, Pain",Paracetamol,Claritine,200mg,150
Diarrhea,"Itching, Sore throat, Headache, Joint pain",Metronidazole,Alerid,10mg,200
Diarrhea,"Itching, Sore throat, Headache, Joint pain",Paracetamol,Crocin,200mg,20
Constipation,"Headache, Fatigue, Vomiting, Joint pain",Paracetamol,Brufen,1g,30
Constipation,"Headache, Fatigue, Vomiting, Joint pain",Loratadine,Alerid,5mg,20
Diarrhea,"Chills, Cough, Fever, Chest tightness",Azithromycin,Augmentin,100mg,150
Diarrhea,"Chills, Cough, Fever, Chest tightness",Omeprazole,Brufen,1g,200
Allergy,"Chest tightness, Sore throat, Sweating, Joint pain",Cetirizine,Brufen,5mg,20
Allergy,"Chest tightness, Sore throat, Sweating, Joint pain",Amoxicillin,Crocin,200mg,100
Alzheimer's,"Chills, Cough, Vomiting, Itching",Omeprazole,Flagyl,500mg,30
Alzheimer's,"Chills, Cough, Vomiting, Itching",Ibuprofen,Azithral,100mg,100
Dengue,"Chest tightness, Sweating, Sore throat, Dizziness",Amoxicillin,Crocin,100mg,30
Dengue,"Chest tightness, Sweating, Sore throat, Dizziness",Ciprofloxacin,Claritine,1g,50
Diarrhea,"Vomiting, Fever, Weight loss, Nausea",Ranitidine,Claritine,500mg,50
Diarrhea,"Vomiting, Fever, Weight loss, Nausea",Azithromycin,Azithral,200mg,150
Hepatitis,"Cough, Fatigue, Joint pain, Dizziness",Metronidazole,Omez,200mg,30
Hepatitis,"Cough, Fatigue, Joint pain, Dizziness",Loratadine,Claritine,500mg,150
Acne,"Fatigue, Cough, Rash, Sweating",Amoxicillin,Flagyl,5mg,150
Acne,"Fatigue, Cough, Rash, Sweating",Ciprofloxacin,Augmentin,500mg,20
Constipation,"Dizziness, Sore throat, Weight loss, Nausea",Ciprofloxacin,Brufen,200mg,100
Constipation,"Dizziness, Sore throat, Weight loss, Nausea",Azithromycin,Alerid,100mg,75
Gout,"Shortness of breath, Joint pain, Sore throat, Sweating",Loratadine,Azithral,10mg,200
Gout,"Shortness of breath, Joint pain, Sore throat, Sweating",Azithromycin,Augmentin,1g,50
HIV,"Chest tightness, Chills, Sore throat, Pain",Ciprofloxacin,Crocin,10mg,30
HIV,"Chest tightness, Chills, Sore throat, Pain",Azithromycin,Zinetac,500mg,200
Chickenpox,"Shortness of breath, Vomiting, Joint pain, Fatigue",Azithromycin,Alerid,250mg,30
Chickenpox,"Shortness of breath, Vomiting, Joint pain, Fatigue",Paracetamol,Ciplox,10mg,150
Dengue,"Dizziness, Fatigue, Chest tightness, Weight loss",Cetirizine,Brufen,500mg,100
Dengue,"Dizziness, Fatigue, Chest tightness, Weight loss",Amoxicillin,Augmentin,5mg,30
Alzheimer's,"Vomiting, Fever, Cough, Chills",Ranitidine,Claritine,10mg,75
Alzheimer's,"Vomiting, Fever, Cough, Chills",Metronidazole,Azithral,250mg,100
Allergy,"Headache, Dizziness, Sore throat, Nausea",Amoxicillin,Alerid,10mg,200
Allergy,"Headache, Dizziness, Sore throat, Nausea",Paracetamol,Flagyl,1g,75
Indigestion,"Chills, Joint pain, Headache, Rash",Amoxicillin,Flagyl,5mg,30
Indigestion,"Chills, Joint pain, Headache, Rash",Cetirizine,Azithral,1g,50
HIV,"Itching, Chills, Pain, Nausea",Ranitidine,Zinetac,10mg,75
HIV,"Itching, Chills, Pain, Nausea",Amoxicillin,Ciplox,1g,30
Gastritis,"Pain, Fatigue, Chills, Joint pain",Cetirizine,Ciplox,500mg,30
Gastritis,"Pain, Fatigue, Chills, Joint pain",Ibuprofen,Zinetac,200mg,150
Glaucoma,"Rash, Shortness of breath, Headache, Nausea",Amoxicillin,Augmentin,100mg,30
Glaucoma,"Rash, Shortness of breath, Headache, Nausea",Cetirizine,Azithral,1g,75
Alzheimer's,"Chills, Vomiting, Pain, Weight loss",Ciprofloxacin,Ciplox,1g,20
Alzheimer's,"Chills, Vomiting, Pain, Weight loss",Omeprazole,Zinetac,250mg,150
Alzheimer's,"Sweating, Headache, Nausea, Itching",Ibuprofen,Zinetac,250mg,30
Alzheimer's,"Sweating, Headache, Nausea, Itching",Azithromycin,Brufen,1g,75
Eye Infection,"Sweating, Shortness of breath, Itching, Sore throat",Paracetamol,Augmentin,250mg,30
Eye Infection,"Sweating, Shortness of breath, Itching, Sore throat",Ranitidine,Azithral,500mg,200
Gastritis,"Itching, Dizziness, Sweating, Sore throat",Paracetamol,Omez,10mg,200
Gastritis,"Itching, Dizziness, Sweating, Sore throat",Loratadine,Flagyl,250mg,50
Insomnia,"Joint pain, Dizziness, Nausea, Itching",Cetirizine,Claritine,250mg,30
Insomnia,"Joint pain, Dizziness, Nausea, Itching",Ciprofloxacin,Azithral,1g,100
Depression,"Vomiting, Pain, Rash, Sweating",Azithromycin,Omez,250mg,200
Depression,"Vomiting, Pain, Rash, Sweating",Amoxicillin,Flagyl,1g,20
HIV,"Vomiting, Rash, Weight loss, Chest tightness",Ibuprofen,Zinetac,200mg,30
HIV,"Vomiting, Rash, Weight loss, Chest tightness",Ciprofloxacin,Claritine,500mg,75
Glaucoma,"Chills, Fatigue, Shortness of breath, Itching",Paracetamol,Crocin,200mg,75
Glaucoma,"Chills, Fatigue, Shortness of breath, Itching",Ranitidine,Alerid,250mg,50
Constipation,"Chills, Sore throat, Sweating, Cough",Ibuprofen,Claritine,10mg,100
Constipation,"Chills, Sore throat, Sweating, Cough",Loratadine,Augmentin,5mg,20
COVID-19,"Fever, Chills, Nausea, Itching",Loratadine,Alerid,100mg,30
COVID-19,"Fever, Chills, Nausea, Itching",Amoxicillin,Azithral,1g,50
Gastritis,"Headache, Cough, Pain, Fever",Cetirizine,Omez,250mg,75
Gastritis,"Headache, Cough, Pain, Fever",Ranitidine,Alerid,200mg,100
Depression,"Chills, Fatigue, Shortness of breath, Sweating",Omeprazole,Alerid,250mg,75
Depression,"Chills, Fatigue, Shortness of breath, Sweating",Metronidazole,Ciplox,10mg,30
Depression,"Itching, Chest tightness, Fatigue, Sweating",Omeprazole,Augmentin,100mg,150
Depression,"Itching, Chest tightness, Fatigue, Sweating",Azithromycin,Claritine,10mg,200
Anxiety,"Weight loss, Fever, Chest tightness, Rash",Azithromycin,Claritine,5mg,150
Anxiety,"Weight loss, Fever, Chest tightness, Rash",Amoxicillin,Ciplox,200mg,30
Diarrhea,"Joint pain, Sore throat, Weight loss, Vomiting",Ibuprofen,Augmentin,100mg,75
Diarrhea,"Joint pain, Sore throat, Weight loss, Vomiting",Loratadine,Crocin,10mg,100
Cholera,"Rash, Fatigue, Sweating, Chills",Ibuprofen,Augmentin,10mg,150
Cholera,"Rash, Fatigue, Sweating, Chills",Amoxicillin,Crocin,500mg,100
Gastritis,"Fever, Joint pain, Itching, Shortness of breath",Cetirizine,Ciplox,5mg,100
Gastritis,"Fever, Joint pain, Itching, Shortness of breath",Loratadine,Brufen,100mg,150
Back Pain,"Shortness of breath, Sore throat, Dizziness, Weight loss",Metronidazole,Ciplox,10mg,50
Back Pain,"Shortness of breath, Sore throat, Dizziness, Weight loss",Loratadine,Claritine,5mg,200
Allergy,"Itching, Cough, Chest tightness, Dizziness",Omeprazole,Claritine,100mg,30
Allergy,"Itching, Cough, Chest tightness, Dizziness",Cetirizine,Ciplox,10mg,100
Indigestion,"Fever, Sweating, Shortness of breath, Weight loss",Metronidazole,Claritine,500mg,30
Indigestion,"Fever, Sweating, Shortness of breath, Weight loss",Ranitidine,Omez,200mg,150
Gout,"Nausea, Headache, Shortness of breath, Fatigue",Metronidazole,Azithral,250mg,200
Gout,"Nausea, Headache, Shortness of breath, Fatigue",Ibuprofen,Ciplox,1g,50
Epilepsy,"Joint pain, Rash, Fatigue, Pain",Ranitidine,Crocin,1g,20
Epilepsy,"Joint pain, Rash, Fatigue, Pain",Paracetamol,Omez,250mg,100
Indigestion,"Chest tightness, Chills, Joint pain, Fatigue",Loratadine,Ciplox,200mg,200
Indigestion,"Chest tightness, Chills, Joint pain, Fatigue",Cetirizine,Crocin,500mg,150
Gastritis,"Fatigue, Itching, Pain, Cough",Azithromycin,Flagyl,250mg,200
Gastritis,"Fatigue, Itching, Pain, Cough",Metronidazole,Brufen,10mg,50
Flu,"Chills, Weight loss, Fever, Headache",Loratadine,Azithral,10mg,150
Flu,"Chills, Weight loss, Fever, Headache",Ranitidine,Alerid,100mg,100
Alzheimer's,"Nausea, Shortness of breath, Headache, Fever",Ranitidine,Crocin,250mg,75
Alzheimer's,"Nausea, Shortness of breath, Headache, Fever",Paracetamol,Augmentin,5mg,200
Diarrhea,"Dizziness, Weight loss, Sweating, Fatigue",Amoxicillin,Zinetac,200mg,30
Diarrhea,"Dizziness, Weight loss, Sweating, Fatigue",Loratadine,Crocin,5mg,150
Chickenpox,"Shortness of breath, Joint pain, Pain, Cough",Loratadine,Crocin,10mg,200
Chickenpox,"Shortness of breath, Joint pain, Pain, Cough",Paracetamol,Claritine,200mg,30
Bronchitis,"Weight loss, Sore throat, Shortness of breath, Nausea",Metronidazole,Augmentin,5mg,20
Bronchitis,"Weight loss, Sore throat, Shortness of breath, Nausea",Ibuprofen,Crocin,250mg,150
Chickenpox,"Shortness of breath, Rash, Cough, Joint pain",Cetirizine,Azithral,500mg,200
Chickenpox,"Shortness of breath, Rash, Cough, Joint pain",Ciprofloxacin,Alerid,250mg,75
Hepatitis,"Weight loss, Headache, Chest tightness, Nausea",Ciprofloxacin,Brufen,5mg,150
Hepatitis,"Weight loss, Headache, Chest tightness, Nausea",Omeprazole,Augmentin,500mg,200
Anxiety,"Joint pain, Cough, Sore throat, Rash",Omeprazole,Omez,5mg,100
Anxiety,"Joint pain, Cough, Sore throat, Rash",Paracetamol,Zinetac,200mg,75
Bronchitis,"Sore throat, Headache, Pain, Chills",Cetirizine,Augmentin,10mg,20
Bronchitis,"Sore throat, Headache, Pain, Chills",Ranitidine,Azithral,200mg,150
Bronchitis,"Fatigue, Nausea, Cough, Joint pain",Amoxicillin,Augmentin,5mg,100
Bronchitis,"Fatigue, Nausea, Cough, Joint pain",Metronidazole,Ciplox,200mg,50
Flu,"Dizziness, Sore throat, Chills, Chest tightness",Amoxicillin,Claritine,250mg,30
Flu,"Dizziness, Sore throat, Chills, Chest tightness",Paracetamol,Brufen,200mg,50
Hepatitis,"Fever, Headache, Itching, Shortness of breath",Cetirizine,Alerid,1g,20
Hepatitis,"Fever, Headache, Itching, Shortness of breath",Amoxicillin,Omez,5mg,75
Dengue,"Fever, Headache, Shortness of breath, Pain",Ibuprofen,Zinetac,200mg,100
Dengue,"Fever, Headache, Shortness of breath, Pain",Omeprazole,Augmentin,100mg,50
Acne,"Headache, Fatigue, Sore throat, Pain",Ciprofloxacin,Brufen,5mg,100
Acne,"Headache, Fatigue, Sore throat, Pain",Ranitidine,Flagyl,100mg,200
Ear Infection,"Pain, Headache, Fever, Sweating",Amoxicillin,Augmentin,5mg,200
Ear Infection,"Pain, Headache, Fever, Sweating",Ranitidine,Crocin,1g,75
Eye Infection,"Sweating, Weight loss, Fever, Pain",Ibuprofen,Claritine,1g,150
Eye Infection,"Sweating, Weight loss, Fever, Pain",Amoxicillin,Brufen,200mg,50
Constipation,"Chills, Rash, Fatigue, Nausea",Ibuprofen,Zinetac,100mg,200
Constipation,"Chills, Rash, Fatigue, Nausea",Amoxicillin,Flagyl,500mg,30
Insomnia,"Joint pain, Vomiting, Weight loss, Shortness of breath",Ibuprofen,Ciplox,100mg,50
Insomnia,"Joint pain, Vomiting, Weight loss, Shortness of breath",Amoxicillin,Crocin,5mg,20
Glaucoma,"Fever, Chills, Joint pain, Nausea",Ibuprofen,Augmentin,200mg,50
Glaucoma,"Fever, Chills, Joint pain, Nausea",Loratadine,Azithral,1g,150
Allergy,"Fatigue, Sweating, Pain, Shortness of breath",Metronidazole,Ciplox,100mg,150
Allergy,"Fatigue, Sweating, Pain, Shortness of breath",Omeprazole,Zinetac,200mg,200
HIV,"Itching, Fatigue, Fever, Dizziness",Amoxicillin,Ciplox,10mg,30
HIV,"Itching, Fatigue, Fever, Dizziness",Omeprazole,Crocin,200mg,100
Gout,"Itching, Fatigue, Weight loss, Shortness of breath",Ibuprofen,Crocin,250mg,75
Gout,"Itching, Fatigue, Weight loss, Shortness of breath",Loratadine,Zinetac,10mg,20
HIV,"Vomiting, Headache, Joint pain, Chills",Metronidazole,Brufen,5mg,200
HIV,"Vomiting, Headache, Joint pain, Chills",Ciprofloxacin,Azithral,500mg,50
Common Cold,"Fever, Weight loss, Sore throat, Shortness of breath",Ranitidine,Brufen,10mg,50
Common Cold,"Fever, Weight loss, Sore throat, Shortness of breath",Omeprazole,Azithral,500mg,200
Depression,"Joint pain, Sweating, Chills, Weight loss",Metronidazole,Claritine,5mg,50
Depression,"Joint pain, Sweating, Chills, Weight loss",Loratadine,Alerid,1g,100
Flu,"Headache, Cough, Chest tightness, Vomiting",Paracetamol,Alerid,200mg,200
Flu,"Headache, Cough, Chest tightness, Vomiting",Azithromycin,Azithral,500mg,150
Flu,"Weight loss, Vomiting, Headache, Chills",Ibuprofen,Omez,5mg,30
Flu,"Weight loss, Vomiting, Headache, Chills",Azithromycin,Flagyl,100mg,20
COVID-19,"Dizziness, Sweating, Chest tightness, Sore throat",Ranitidine,Azithral,500mg,150
COVID-19,"Dizziness, Sweating, Chest tightness, Sore throat",Omeprazole,Alerid,100mg,20
Gastritis,"Fever, Vomiting, Headache, Weight loss",Paracetamol,Azithral,200mg,75
Gastritis,"Fever, Vomiting, Headache, Weight loss",Cetirizine,Zinetac,5mg,200
Acne,"Fever, Cough, Rash, Fatigue",Ciprofloxacin,Ciplox,1g,20
Acne,"Fever, Cough, Rash, Fatigue",Metronidazole,Claritine,500mg,50
Eye Infection,"Nausea, Chest tightness, Vomiting, Itching",Ranitidine,Azithral,200mg,75
Eye Infection,"Nausea, Chest tightness, Vomiting, Itching",Amoxicillin,Brufen,500mg,20
Ear Infection,"Itching, Fever, Cough, Pain",Ibuprofen,Augmentin,250mg,100
Ear Infection,"Itching, Fever, Cough, Pain",Ciprofloxacin,Ciplox,10mg,75
COVID-19,"Nausea, Vomiting, Pain, Headache",Loratadine,Augmentin,5mg,20
COVID-19,"Nausea, Vomiting, Pain, Headache",Ibuprofen,Crocin,200mg,200
COVID-19,"Fever, Chills, Pain, Chest tightness",Omeprazole,Claritine,10mg,200
COVID-19,"Fever, Chills, Pain, Chest tightness",Cetirizine,Augmentin,200mg,50
Flu,"Sweating, Dizziness, Sore throat, Fever",Ibuprofen,Azithral,250mg,20
Flu,"Sweating, Dizziness, Sore throat, Fever",Ciprofloxacin,Augmentin,10mg,100
Cholera,"Vomiting, Pain, Dizziness, Chills",Cetirizine,Azithral,1g,50
Cholera,"Vomiting, Pain, Dizziness, Chills",Ibuprofen,Zinetac,5mg,75
Diarrhea,"Weight loss, Sweating, Rash, Itching",Paracetamol,Azithral,500mg,30
Diarrhea,"Weight loss, Sweating, Rash, Itching",Ranitidine,Claritine,100mg,150
Diarrhea,"Sore throat, Nausea, Cough, Fever",Amoxicillin,Omez,250mg,50
Diarrhea,"Sore throat, Nausea, Cough, Fever",Loratadine,Azithral,200mg,75
Constipation,"Chest tightness, Fever, Dizziness, Sweating",Amoxicillin,Flagyl,200mg,50
Constipation,"Chest tightness, Fever, Dizziness, Sweating",Paracetamol,Claritine,1g,30
Insomnia,"Chills, Dizziness, Headache, Pain",Amoxicillin,Flagyl,200mg,30
Insomnia,"Chills, Dizziness, Headache, Pain",Paracetamol,Augmentin,1g,75
Flu,"Fever, Weight loss, Joint pain, Nausea",Paracetamol,Ciplox,100mg,200
Flu,"Fever, Weight loss, Joint pain, Nausea",Omeprazole,Crocin,5mg,50
COVID-19,"Chest tightness, Headache, Vomiting, Sweating",Amoxicillin,Claritine,1g,75
COVID-19,"Chest tightness, Headache, Vomiting, Sweating",Loratadine,Brufen,10mg,20
Gastritis,"Rash, Fatigue, Nausea, Itching",Ibuprofen,Augmentin,5mg,20
Gastritis,"Rash, Fatigue, Nausea, Itching",Ranitidine,Alerid,250mg,50
Common Cold,"Fatigue, Itching, Joint pain, Weight loss",Amoxicillin,Augmentin,100mg,100
Common Cold,"Fatigue, Itching, Joint pain, Weight loss",Azithromycin,Flagyl,250mg,50
Eye Infection,"Fatigue, Vomiting, Sore throat, Fever",Cetirizine,Azithral,250mg,75
Eye Infection,"Fatigue, Vomiting, Sore throat, Fever",Metronidazole,Crocin,100mg,100
Common Cold,"Weight loss, Joint pain, Cough, Nausea",Loratadine,Augmentin,10mg,50
Common Cold,"Weight loss, Joint pain, Cough, Nausea",Cetirizine,Azithral,250mg,100
Gastritis,"Weight loss, Chills, Sweating, Sore throat",Azithromycin,Claritine,1g,75
Gastritis,"Weight loss, Chills, Sweating, Sore throat",Ranitidine,Alerid,10mg,30
Gout,"Shortness of breath, Itching, Sweating, Weight loss",Loratadine,Zinetac,1g,200
Gout,"Shortness of breath, Itching, Sweating, Weight loss",Metronidazole,Omez,250mg,20
Depression,"Headache, Itching, Weight loss, Chills",Cetirizine,Claritine,200mg,150
Depression,"Headache, Itching, Weight loss, Chills",Ciprofloxacin,Alerid,250mg,100
Glaucoma,"Headache, Nausea, Cough, Joint pain",Ibuprofen,Omez,500mg,20
Glaucoma,"Headache, Nausea, Cough, Joint pain",Loratadine,Augmentin,1g,75
Constipation,"Pain, Rash, Fatigue, Weight loss",Ciprofloxacin,Zinetac,5mg,50
Constipation,"Pain, Rash, Fatigue, Weight loss",Omeprazole,Brufen,1g,100
Back Pain,"Rash, Shortness of breath, Pain, Dizziness",Omeprazole,Ciplox,500mg,100
Back Pain,"Rash, Shortness of breath, Pain, Dizziness",Metronidazole,Claritine,200mg,30
Gastritis,"Joint pain, Fever, Rash, Chills",Paracetamol,Flagyl,200mg,30
Gastritis,"Joint pain, Fever, Rash, Chills",Ciprofloxacin,Brufen,1g,150
Common Cold,"Rash, Itching, Pain, Weight loss",Loratadine,Ciplox,100mg,50
Common Cold,"Rash, Itching, Pain, Weight loss",Paracetamol,Crocin,250mg,200
Diarrhea,"Itching, Sore throat, Fever, Fatigue",Loratadine,Omez,10mg,20
Diarrhea,"Itching, Sore throat, Fever, Fatigue",Amoxicillin,Zinetac,1g,30
Gastritis,"Itching, Shortness of breath, Headache, Fatigue",Ranitidine,Omez,1g,200
Gastritis,"Itching, Shortness of breath, Headache, Fatigue",Ciprofloxacin,Zinetac,10mg,50
Depression,"Sore throat, Pain, Itching, Weight loss",Paracetamol,Omez,10mg,200
Depression,"Sore throat, Pain, Itching, Weight loss",Ranitidine,Flagyl,1g,150
Back Pain,"Sweating, Rash, Fatigue, Chills",Azithromycin,Brufen,250mg,30
Back Pain,"Sweating, Rash, Fatigue, Chills",Ciprofloxacin,Claritine,100mg,20
Common Cold,"Dizziness, Sore throat, Vomiting, Rash",Amoxicillin,Azithral,200mg,30
Common Cold,"Dizziness, Sore throat, Vomiting, Rash",Ibuprofen,Brufen,250mg,20
Diarrhea,"Dizziness, Headache, Chills, Vomiting",Cetirizine,Azithral,10mg,30
Diarrhea,"Dizziness, Headache, Chills, Vomiting",Azithromycin,Alerid,500mg,20
Depression,"Chest tightness, Chills, Fever, Headache",Metronidazole,Augmentin,5mg,30
Depression,"Chest tightness, Chills, Fever, Headache",Ranitidine,Brufen,10mg,200
Indigestion,"Vomiting, Joint pain, Shortness of breath, Nausea",Ibuprofen,Claritine,200mg,20
Indigestion,"Vomiting, Joint pain, Shortness of breath, Nausea",Metronidazole,Flagyl,250mg,150
Dengue,"Rash, Chest tightness, Dizziness, Itching",Azithromycin,Crocin,500mg,75
Dengue,"Rash, Chest tightness, Dizziness, Itching",Cetirizine,Brufen,5mg,100
Indigestion,"Itching, Fatigue, Fever, Pain",Omeprazole,Alerid,250mg,200
Indigestion,"Itching, Fatigue, Fever, Pain",Loratadine,Zinetac,500mg,30
Bronchitis,"Joint pain, Shortness of breath, Rash, Chills",Ciprofloxacin,Zinetac,250mg,20
Bronchitis,"Joint pain, Shortness of breath, Rash, Chills",Loratadine,Crocin,200mg,30
Back Pain,"Rash, Cough, Fever, Chest tightness",Ranitidine,Crocin,5mg,30
Back Pain,"Rash, Cough, Fever, Chest tightness",Omeprazole,Brufen,100mg,50
COVID-19,"Chest tightness, Pain, Weight loss, Rash",Paracetamol,Augmentin,10mg,200
COVID-19,"Chest tightness, Pain, Weight loss, Rash",Cetirizine,Crocin,5mg,75
Acne,"Joint pain, Itching, Fever, Nausea",Metronidazole,Alerid,250mg,200
Acne,"Joint pain, Itching, Fever, Nausea",Loratadine,Brufen,500mg,20
Depression,"Chills, Fatigue, Rash, Vomiting",Azithromycin,Augmentin,200mg,150
Depression,"Chills, Fatigue, Rash, Vomiting",Cetirizine,Zinetac,10mg,20
Flu,"Dizziness, Sweating, Fatigue, Chest tightness",Amoxicillin,Brufen,5mg,50
Flu,"Dizziness, Sweating, Fatigue, Chest tightness",Ciprofloxacin,Ciplox,1g,20
Cholera,"Weight loss, Chest tightness, Dizziness, Shortness of breath",Azithromycin,Claritine,1g,75
Cholera,"Weight loss, Chest tightness, Dizziness, Shortness of breath",Omeprazole,Flagyl,200mg,150
Dengue,"Nausea, Dizziness, Fever, Weight loss",Azithromycin,Omez,200mg,30
Dengue,"Nausea, Dizziness, Fever, Weight loss",Loratadine,Claritine,100mg,150
Epilepsy,"Itching, Pain, Fatigue, Vomiting",Paracetamol,Alerid,500mg,50
Epilepsy,"Itching, Pain, Fatigue, Vomiting",Omeprazole,Azithral,100mg,150
Alzheimer's,"Chest tightness, Cough, Dizziness, Joint pain",Loratadine,Azithral,200mg,75
Alzheimer's,"Chest tightness, Cough, Dizziness, Joint pain",Ibuprofen,Alerid,100mg,200
Glaucoma,"Fatigue, Fever, Headache, Chills",Amoxicillin,Ciplox,1g,50
Glaucoma,"Fatigue, Fever, Headache, Chills",Cetirizine,Crocin,10mg,20
HIV,"Vomiting, Sore throat, Headache, Joint pain",Ciprofloxacin,Zinetac,200mg,75
HIV,"Vomiting, Sore throat, Headache, Joint pain",Azithromycin,Crocin,500mg,20
Diarrhea,"Itching, Chest tightness, Nausea, Rash",Ciprofloxacin,Flagyl,200mg,200
Diarrhea,"Itching, Chest tightness, Nausea, Rash",Metronidazole,Claritine,1g,50
Gout,"Cough, Chest tightness, Vomiting, Joint pain",Azithromycin,Ciplox,5mg,200
Gout,"Cough, Chest tightness, Vomiting, Joint pain",Ranitidine,Omez,500mg,150
COVID-19,"Headache, Vomiting, Weight loss, Joint pain",Amoxicillin,Brufen,250mg,50
COVID-19,"Headache, Vomiting, Weight loss, Joint pain",Azithromycin,Azithral,500mg,150
Epilepsy,"Weight loss, Chills, Cough, Nausea",Metronidazole,Azithral,1g,30
Epilepsy,"Weight loss, Chills, Cough, Nausea",Ranitidine,Omez,200mg,20
COVID-19,"Nausea, Fever, Itching, Cough",Amoxicillin,Crocin,10mg,20
COVID-19,"Nausea, Fever, Itching, Cough",Ibuprofen,Omez,250mg,75
COVID-19,"Chest tightness, Weight loss, Joint pain, Shortness of breath",Ranitidine,Augmentin,1g,30
COVID-19,"Chest tightness, Weight loss, Joint pain, Shortness of breath",Omeprazole,Brufen,200mg,150
Acne,"Rash, Headache, Cough, Fatigue",Amoxicillin,Augmentin,200mg,75
Acne,"Rash, Headache, Cough, Fatigue",Metronidazole,Alerid,100mg,20
Ear Infection,"Fever, Chills, Headache, Dizziness",Ciprofloxacin,Flagyl,100mg,75
Ear Infection,"Fever, Chills, Headache, Dizziness",Paracetamol,Ciplox,10mg,200
Constipation,"Weight loss, Shortness of breath, Fever, Chest tightness",Ranitidine,Azithral,5mg,150
Constipation,"Weight loss, Shortness of breath, Fever, Chest tightness",Omeprazole,Crocin,250mg,50
Anxiety,"Shortness of breath, Sweating, Headache, Itching",Omeprazole,Claritine,250mg,30
Anxiety,"Shortness of breath, Sweating, Headache, Itching",Ciprofloxacin,Zinetac,10mg,50
Gout,"Chest tightness, Rash, Sore throat, Cough",Cetirizine,Crocin,5mg,100
Gout,"Chest tightness, Rash, Sore throat, Cough",Paracetamol,Brufen,250mg,75
Allergy,"Dizziness, Joint pain, Itching, Fever",Ranitidine,Ciplox,5mg,50
Allergy,"Dizziness, Joint pain, Itching, Fever",Loratadine,Omez,10mg,20
